Contrato;Marca;Categoria;SubCategoria;Moneda;Desc. Royalty;Royalty;BDI;Producto;Cliente;SKU;Descripcion Producto;Precio Unitario Venta Neta;Q Venta Neta;Precio Unitario Devolucion / Descuento;Q Devolucion
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL CHILLAN 2;300355;BUBBLE TREND BARBIE MOCHILA;6.043,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL COLINA;300272;EXPRESSION SUR BARBIE MOCHILA;6.546,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL PUERTO MONTT;300272;EXPRESSION SUR BARBIE MOCHILA;6.714,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL  JUMBO RANCAGUA 2;300354;BUBBLE SUR BARBIE MOCHILA;6.714,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL MALL PLAZA SUR;300355;BUBBLE TREND BARBIE MOCHILA;6.714,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL TALCA;300355;BUBBLE TREND BARBIE MOCHILA;6.714,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL MARINA 1;300357;CARDIGAN ROCK BARBIE MOCHILA;6.714,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL ALAMEDA;340886;BUBBLE 2014 SUR BARBIE MOCHILA;6.714,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;LOCAL MALL PLAZA EL TREBOL;340886;BUBBLE 2014 SUR BARBIE MOCHILA;6.714,00;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;5%;1%;MOCHILAS CON CARRO;PLAZA EGANA;340886;BUBBLE 2014 SUR BARBIE MOCHILA;6.714,00;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;5%;1%;CARTERA URBANA INFANTIL;LOCAL ALAMEDA;340947;GLOSS PETS  BARBIE CARTERA URB;6.714,00;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;5%;1%;CARTERA URBANA INFANTIL;LOCAL EXTRA EL BELLOTO;340947;GLOSS PETS  BARBIE CARTERA URB;6.714,00;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;5%;1%;CARTERA URBANA INFANTIL;LOCAL PUERTO MONTT;340947;GLOSS PETS  BARBIE CARTERA URB;6.714,00;1;0;0
